CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2001,35.5,59.0
AGO,2001,30.2,50.0
ALB,2001,,
AND,2001,,
ARE,2001,,
ARG,2001,12.0,8.0
ARM,2001,,
ATG,2001,,
AUS,2001,3.5,48.0
AUT,2001,7.5,86.0
AZE,2001,34.5,57.0
BDI,2001,24.5,32.0
BEL,2001,3.5,48.0
BEN,2001,6.0,80.0
BFA,2001,27.8,42.0
BGD,2001,43.8,72.0
BGR,2001,9.8,98.0
BHR,2001,23.0,28.0
BIH,2001,12.5,9.0
BLR,2001,52.2,79.0
BLZ,2001,,
BOL,2001,14.5,13.0
BRA,2001,18.8,18.0
BRN,2001,,
BTN,2001,90.8,100.0
BWA,2001,,
CAF,2001,21.5,25.0
CAN,2001,0.8,2.0
CHE,2001,4.3,65.0
CHL,2001,6.5,81.0
CHN,2001,97.0,103.0
CIV,2001,19.0,19.0
CMR,2001,28.8,44.0
COD,2001,,
COG,2001,23.2,29.0
COL,2001,40.8,68.0
COM,2001,20.5,22.0
CPV,2001,13.8,11.0
CRI,2001,4.3,65.0
CUB,2001,90.3,99.0
CYP,2001,,
CZE,2001,11.3,7.0
DEU,2001,1.5,4.0
DJI,2001,31.3,53.0
DNK,2001,3.0,46.0
DOM,2001,,
DZA,2001,31.0,52.0
ECU,2001,5.5,78.0
EGY,2001,34.5,57.0
ERI,2001,83.7,94.0
ESP,2001,7.8,87.0
EST,2001,,
ETH,2001,37.5,62.0
FIN,2001,0.5,1.0
FJI,2001,,
FRA,2001,3.3,47.0
GAB,2001,20.5,22.0
GBR,2001,6.0,80.0
GEO,2001,,
GHA,2001,23.0,28.0
GIN,2001,26.0,36.0
GMB,2001,22.5,26.0
GNB,2001,30.3,51.0
GNQ,2001,42.8,71.0
GRC,2001,5.0,77.0
GRD,2001,,
GTM,2001,27.3,40.0
GUY,2001,,
HKG,2001,4.8,66.0
HND,2001,,
HRV,2001,8.8,92.0
HTI,2001,36.5,61.0
HUN,2001,6.5,81.0
IDN,2001,20.0,21.0
IND,2001,26.5,37.0
IRL,2001,1.0,3.0
IRN,2001,48.3,76.0
IRQ,2001,79.0,89.0
ISL,2001,0.5,1.0
ISR,2001,30.0,49.0
ITA,2001,11.0,6.0
JAM,2001,,
JOR,2001,33.5,56.0
JPN,2001,7.5,86.0
KAZ,2001,42.0,70.0
KEN,2001,24.8,33.0
KGZ,2001,31.8,55.0
KHM,2001,24.3,31.0
KOR,2001,10.5,5.0
KSV,2001,,
KWT,2001,25.5,35.0
LAO,2001,89.0,95.0
LBN,2001,19.7,20.0
LBR,2001,37.8,63.0
LBY,2001,72.5,88.0
LIE,2001,,
LKA,2001,15.8,15.0
LSO,2001,,
LTU,2001,,
LUX,2001,,
LVA,2001,,
MAR,2001,29.0,45.0
MDA,2001,,
MDG,2001,22.8,27.0
MDV,2001,,
MEX,2001,24.8,33.0
MKD,2001,,
MLI,2001,12.5,9.0
MLT,2001,,
MMR,2001,96.8,102.0
MNE,2001,,
MNG,2001,24.5,32.0
MOZ,2001,23.5,30.0
MRT,2001,41.3,69.0
MUS,2001,9.5,97.0
MWI,2001,27.7,41.0
MYS,2001,37.8,63.0
NAM,2001,8.0,90.0
NER,2001,18.5,17.0
NGA,2001,15.5,14.0
NIC,2001,,
NLD,2001,0.5,1.0
NOR,2001,0.5,1.0
NPL,2001,63.0,84.0
NZL,2001,,
OMN,2001,,
PAK,2001,44.7,73.0
PAN,2001,15.5,14.0
PER,2001,9.5,97.0
PHL,2001,29.0,45.0
PNG,2001,,
POL,2001,7.8,87.0
PRK,2001,,
PRT,2001,1.5,4.0
PRY,2001,8.5,91.0
PSE,2001,,
QAT,2001,,
ROU,2001,13.3,10.0
RUS,2001,48.0,75.0
RWA,2001,37.5,62.0
SAU,2001,62.5,82.0
SDN,2001,36.0,60.0
SEN,2001,14.0,12.0
SGP,2001,,
SLE,2001,24.5,32.0
SLV,2001,8.8,92.0
SOM,2001,,
SRB,2001,20.8,23.0
SSD,2001,,
SUR,2001,,
SVK,2001,,
SVN,2001,4.0,64.0
SWE,2001,1.5,4.0
SWZ,2001,29.0,45.0
SYC,2001,20.8,23.0
SYR,2001,62.8,83.0
TCD,2001,28.8,44.0
TGO,2001,31.5,54.0
THA,2001,22.8,27.0
TJK,2001,28.3,43.0
TKM,2001,91.5,101.0
TLS,2001,,
TON,2001,,
TTO,2001,,
TUN,2001,67.8,85.0
TUR,2001,33.5,56.0
TWN,2001,,
TZA,2001,21.3,24.0
UGA,2001,17.0,16.0
UKR,2001,40.0,67.0
URY,2001,6.0,80.0
USA,2001,4.8,66.0
UZB,2001,45.0,74.0
VEN,2001,25.0,34.0
VNM,2001,81.3,93.0
WSM,2001,,
YEM,2001,34.8,58.0
ZAF,2001,7.5,86.0
ZMB,2001,26.8,38.0
ZWE,2001,48.3,76.0
