CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2005,44.25,67.0
AGO,2005,21.5,36.0
ALB,2005,18.0,24.0
AND,2005,,
ARE,2005,17.5,23.0
ARG,2005,17.3,22.0
ARM,2005,25.5,42.0
ATG,2005,,
AUS,2005,9.0,103.0
AUT,2005,4.5,63.0
AZE,2005,47.0,72.0
BDI,2005,39.83,61.0
BEL,2005,4.0,62.0
BEN,2005,5.5,76.0
BFA,2005,16.0,19.0
BGD,2005,48.0,73.0
BGR,2005,9.0,103.0
BHR,2005,28.0,48.0
BIH,2005,5.0,75.0
BLR,2005,57.0,85.0
BLZ,2005,,
BOL,2005,4.5,63.0
BRA,2005,17.17,21.0
BRN,2005,,
BTN,2005,25.0,41.0
BWA,2005,13.0,12.0
CAF,2005,14.5,15.0
CAN,2005,4.5,63.0
CHE,2005,2.5,33.0
CHL,2005,11.63,8.0
CHN,2005,94.0,107.0
CIV,2005,25.0,41.0
CMR,2005,28.25,49.0
COD,2005,,
COG,2005,17.0,20.0
COL,2005,44.75,68.0
COM,2005,22.5,38.0
CPV,2005,11.5,7.0
CRI,2005,6.67,88.0
CUB,2005,95.0,109.0
CYP,2005,7.5,94.0
CZE,2005,0.75,2.0
DEU,2005,5.5,76.0
DJI,2005,33.0,57.0
DNK,2005,5.0,75.0
DOM,2005,12.75,11.0
DZA,2005,40.0,64.0
ECU,2005,15.25,17.0
EGY,2005,46.25,70.0
ERI,2005,97.5,110.0
ESP,2005,10.0,3.0
EST,2005,2.0,32.0
ETH,2005,75.0,99.0
FIN,2005,0.5,1.0
FJI,2005,14.0,14.0
FRA,2005,9.0,103.0
GAB,2005,28.5,50.0
GBR,2005,6.5,87.0
GEO,2005,21.0,34.0
GHA,2005,8.5,102.0
GIN,2005,27.5,47.0
GMB,2005,54.0,84.0
GNB,2005,14.5,15.0
GNQ,2005,48.0,73.0
GRC,2005,8.0,101.0
GRD,2005,,
GTM,2005,21.25,35.0
GUY,2005,,
HKG,2005,14.0,14.0
HND,2005,14.5,15.0
HRV,2005,13.0,12.0
HTI,2005,19.5,30.0
HUN,2005,3.0,53.0
IDN,2005,26.0,43.0
IND,2005,26.5,44.0
IRL,2005,0.5,1.0
IRN,2005,90.88,106.0
IRQ,2005,66.83,91.0
ISL,2005,0.5,1.0
ISR,2005,12.0,9.0
ITA,2005,9.9,105.0
JAM,2005,5.5,76.0
JOR,2005,27.5,47.0
JPN,2005,12.5,10.0
KAZ,2005,41.0,66.0
KEN,2005,30.25,55.0
KGZ,2005,34.0,59.0
KHM,2005,27.25,46.0
KOR,2005,7.75,95.0
KSV,2005,19750.0,20614.0
KWT,2005,17.0,20.0
LAO,2005,67.5,93.0
LBN,2005,27.0,45.0
LBR,2005,19.0,27.0
LBY,2005,62.5,89.0
LIE,2005,,
LKA,2005,50.75,78.0
LSO,2005,16.0,19.0
LTU,2005,6.5,87.0
LUX,2005,,
LVA,2005,3.0,53.0
MAR,2005,24.83,40.0
MDA,2005,19.17,28.0
MDG,2005,15.0,16.0
MDV,2005,51.25,80.0
MEX,2005,45.83,69.0
MKD,2005,11.5,7.0
MLI,2005,9.0,103.0
MLT,2005,,
MMR,2005,94.75,108.0
MNE,2005,11.5,7.0
MNG,2005,19.25,29.0
MOZ,2005,11.5,7.0
MRT,2005,17.5,23.0
MUS,2005,8.0,101.0
MWI,2005,25.5,42.0
MYS,2005,22.25,37.0
NAM,2005,6.0,86.0
NER,2005,24.5,39.0
NGA,2005,32.23,56.0
NIC,2005,15.5,18.0
NLD,2005,0.5,1.0
NOR,2005,2.0,32.0
NPL,2005,73.5,98.0
NZL,2005,5.0,75.0
OMN,2005,,
PAK,2005,70.33,96.0
PAN,2005,9.5,104.0
PER,2005,28.25,49.0
PHL,2005,51.0,79.0
PNG,2005,,
POL,2005,14.0,14.0
PRK,2005,,
PRT,2005,3.0,53.0
PRY,2005,18.25,25.0
PSE,2005,,
QAT,2005,18.0,24.0
ROU,2005,14.0,14.0
RUS,2005,52.5,82.0
RWA,2005,41.0,66.0
SAU,2005,76.0,100.0
SDN,2005,48.13,74.0
SEN,2005,17.5,23.0
SGP,2005,51.5,81.0
SLE,2005,26.0,43.0
SLV,2005,10.0,3.0
SOM,2005,51.25,80.0
SRB,2005,11.5,7.0
SSD,2005,,
SUR,2005,,
SVK,2005,2.5,33.0
SVN,2005,3.0,53.0
SWE,2005,4.0,62.0
SWZ,2005,40.5,65.0
SYC,2005,24.5,39.0
SYR,2005,63.0,90.0
TCD,2005,35.5,60.0
TGO,2005,15.0,16.0
THA,2005,33.5,58.0
TJK,2005,30.0,54.0
TKM,2005,98.5,111.0
TLS,2005,,
TON,2005,13.0,12.0
TTO,2005,5.0,75.0
TUN,2005,53.75,83.0
TUR,2005,25.0,41.0
TWN,2005,,
TZA,2005,19.82,31.0
UGA,2005,29.83,52.0
UKR,2005,26.5,44.0
URY,2005,13.75,13.0
USA,2005,13.0,12.0
UZB,2005,71.0,97.0
VEN,2005,29.0,51.0
VNM,2005,67.25,92.0
WSM,2005,,
YEM,2005,54.0,84.0
ZAF,2005,11.25,6.0
ZMB,2005,22.5,38.0
ZWE,2005,50.0,77.0
