CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2002,40.17,78.0
AGO,2002,28.0,46.0
ALB,2002,6.5,100.0
AND,2002,,
ARE,2002,37.0,68.0
ARG,2002,15.17,15.0
ARM,2002,25.17,39.0
ATG,2002,,
AUS,2002,9.25,118.0
AUT,2002,2.75,30.0
AZE,2002,34.5,62.0
BDI,2002,26.25,41.0
BEL,2002,1.17,3.0
BEN,2002,5.25,92.0
BFA,2002,18.0,23.0
BGD,2002,46.5,86.0
BGR,2002,6.5,100.0
BHR,2002,35.17,64.0
BIH,2002,6.83,101.0
BLR,2002,52.0,96.0
BLZ,2002,,
BOL,2002,9.67,119.0
BRA,2002,16.75,18.0
BRN,2002,,
BTN,2002,77.33,109.0
BWA,2002,13.0,11.0
CAF,2002,32.75,58.0
CAN,2002,1.83,6.0
CHE,2002,2.5,29.0
CHL,2002,6.83,101.0
CHN,2002,91.25,121.0
CIV,2002,42.17,80.0
CMR,2002,30.5,50.0
COD,2002,,
COG,2002,14.0,12.0
COL,2002,49.17,89.0
COM,2002,18.5,25.0
CPV,2002,8.25,112.0
CRI,2002,3.83,49.0
CUB,2002,97.83,125.0
CYP,2002,20.83,32.0
CZE,2002,2.5,29.0
DEU,2002,1.33,4.0
DJI,2002,35.5,66.0
DNK,2002,1.0,2.0
DOM,2002,17.0,19.0
DZA,2002,33.0,59.0
ECU,2002,7.67,107.0
EGY,2002,34.25,61.0
ERI,2002,91.5,122.0
ESP,2002,7.67,107.0
EST,2002,2.5,29.0
ETH,2002,37.5,69.0
FIN,2002,0.5,1.0
FJI,2002,11.5,9.0
FRA,2002,4.17,75.0
GAB,2002,31.25,53.0
GBR,2002,4.25,76.0
GEO,2002,17.33,20.0
GHA,2002,8.75,113.0
GIN,2002,33.17,60.0
GMB,2002,18.25,24.0
GNB,2002,35.25,65.0
GNQ,2002,44.75,82.0
GRC,2002,6.0,98.0
GRD,2002,,
GTM,2002,30.83,51.0
GUY,2002,,
HKG,2002,11.0,8.0
HND,2002,14.17,13.0
HRV,2002,16.5,17.0
HTI,2002,31.0,52.0
HUN,2002,3.33,48.0
IDN,2002,34.25,61.0
IND,2002,39.0,71.0
IRL,2002,2.83,31.0
IRN,2002,89.33,116.0
IRQ,2002,37.5,69.0
ISL,2002,0.5,1.0
ISR,2002,8.0,110.0
ITA,2002,9.75,120.0
JAM,2002,3.33,48.0
JOR,2002,37.0,68.0
JPN,2002,8.0,110.0
KAZ,2002,42.5,81.0
KEN,2002,18.5,25.0
KGZ,2002,32.0,56.0
KHM,2002,19.5,26.0
KOR,2002,9.17,117.0
KSV,2002,,
KWT,2002,31.33,54.0
LAO,2002,94.83,123.0
LBN,2002,32.5,57.0
LBR,2002,40.0,77.0
LBY,2002,60.0,102.0
LIE,2002,,
LKA,2002,24.83,38.0
LSO,2002,17.75,22.0
LTU,2002,2.83,31.0
LUX,2002,,
LVA,2002,2.25,28.0
MAR,2002,39.67,73.0
MDA,2002,27.0,43.0
MDG,2002,8.17,111.0
MDV,2002,47.5,88.0
MEX,2002,17.67,21.0
MKD,2002,9.67,119.0
MLI,2002,11.0,8.0
MLT,2002,,
MMR,2002,95.5,124.0
MNE,2002,,
MNG,2002,18.25,24.0
MOZ,2002,14.0,12.0
MRT,2002,36.67,67.0
MUS,2002,7.25,106.0
MWI,2002,21.0,33.0
MYS,2002,32.0,56.0
NAM,2002,11.0,8.0
NER,2002,15.75,16.0
NGA,2002,31.5,55.0
NIC,2002,6.5,100.0
NLD,2002,0.5,1.0
NOR,2002,0.5,1.0
NPL,2002,51.5,95.0
NZL,2002,2.83,31.0
OMN,2002,57.75,97.0
PAK,2002,39.0,71.0
PAN,2002,9.75,120.0
PER,2002,10.25,7.0
PHL,2002,35.25,65.0
PNG,2002,,
POL,2002,6.17,99.0
PRK,2002,,
PRT,2002,5.17,91.0
PRY,2002,7.17,105.0
PSE,2002,,
QAT,2002,35.0,63.0
ROU,2002,11.5,9.0
RUS,2002,49.5,90.0
RWA,2002,34.25,61.0
SAU,2002,71.5,108.0
SDN,2002,45.75,85.0
SEN,2002,14.5,14.0
SGP,2002,47.33,87.0
SLE,2002,23.5,36.0
SLV,2002,6.83,101.0
SOM,2002,45.0,83.0
SRB,2002,21.33,34.0
SSD,2002,,
SUR,2002,,
SVK,2002,2.5,29.0
SVN,2002,3.0,47.0
SWE,2002,1.5,5.0
SWZ,2002,37.5,69.0
SYC,2002,26.75,42.0
SYR,2002,67.5,104.0
TCD,2002,24.0,37.0
TGO,2002,27.5,44.0
THA,2002,19.67,27.0
TJK,2002,34.5,62.0
TKM,2002,82.83,114.0
TLS,2002,,
TON,2002,,
TTO,2002,1.0,2.0
TUN,2002,50.83,94.0
TUR,2002,35.0,63.0
TWN,2002,,
TZA,2002,16.5,17.0
UGA,2002,25.75,40.0
UKR,2002,40.0,77.0
URY,2002,4.0,74.0
USA,2002,6.0,98.0
UZB,2002,61.5,103.0
VEN,2002,27.83,45.0
VNM,2002,89.17,115.0
WSM,2002,,
YEM,2002,41.83,79.0
ZAF,2002,3.33,48.0
ZMB,2002,23.25,35.0
ZWE,2002,45.5,84.0
