CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2012,37.36,112.0
AGO,2012,37.8,114.0
ALB,2012,30.88,87.0
AND,2012,6.82,152.0
ARE,2012,33.49,98.0
ARG,2012,25.67,40.0
ARM,2012,28.04,59.0
ATG,2012,,
AUS,2012,15.24,12.0
AUT,2012,9.4,175.0
AZE,2012,47.73,140.0
BDI,2012,38.02,116.0
BEL,2012,12.94,7.0
BEN,2012,28.33,64.0
BFA,2012,23.7,32.0
BGD,2012,42.01,128.0
BGR,2012,28.58,72.0
BHR,2012,62.75,154.0
BIH,2012,26.86,53.0
BLR,2012,48.35,141.0
BLZ,2012,,
BOL,2012,32.8,94.0
BRA,2012,32.75,93.0
BRN,2012,35.45,106.0
BTN,2012,28.42,67.0
BWA,2012,22.91,26.0
CAF,2012,26.61,50.0
CAN,2012,12.69,6.0
CHE,2012,9.94,177.0
CHL,2012,26.24,46.0
CHN,2012,73.07,164.0
CIV,2012,29.77,81.0
CMR,2012,34.78,104.0
COD,2012,,
COG,2012,,
COL,2012,37.48,113.0
COM,2012,24.52,37.0
CPV,2012,14.33,11.0
CRI,2012,12.08,4.0
CUB,2012,71.64,162.0
CYP,2012,13.83,10.0
CZE,2012,10.17,2.0
DEU,2012,10.24,3.0
DJI,2012,67.4,156.0
DNK,2012,7.08,159.0
DOM,2012,28.34,65.0
DZA,2012,36.54,109.0
ECU,2012,34.69,103.0
EGY,2012,48.66,142.0
ERI,2012,84.83,172.0
ESP,2012,20.5,22.0
EST,2012,9.26,174.0
ETH,2012,39.57,121.0
FIN,2012,6.38,148.0
FJI,2012,32.69,92.0
FRA,2012,21.6,23.0
GAB,2012,28.69,74.0
GBR,2012,16.89,15.0
GEO,2012,30.09,85.0
GHA,2012,17.27,16.0
GIN,2012,28.49,71.0
GMB,2012,45.09,136.0
GNB,2012,28.94,77.0
GNQ,2012,67.2,155.0
GRC,2012,28.46,69.0
GRD,2012,,
GTM,2012,29.39,80.0
GUY,2012,27.08,54.0
HKG,2012,26.16,44.0
HND,2012,36.92,111.0
HRV,2012,26.61,50.0
HTI,2012,24.09,35.0
HUN,2012,26.09,42.0
IDN,2012,41.05,123.0
IND,2012,41.22,124.0
IRL,2012,10.06,1.0
IRN,2012,73.4,165.0
IRQ,2012,44.67,134.0
ISL,2012,8.49,170.0
ISR,2012,32.97,97.0
ITA,2012,26.11,43.0
JAM,2012,9.88,176.0
JOR,2012,38.47,118.0
JPN,2012,25.17,39.0
KAZ,2012,55.08,144.0
KEN,2012,27.8,56.0
KGZ,2012,32.2,91.0
KHM,2012,41.81,127.0
KOR,2012,24.48,36.0
KSV,2012,37549.0,118470.0
KWT,2012,28.28,62.0
LAO,2012,67.99,157.0
LBN,2012,30.15,86.0
LBR,2012,29.89,82.0
LBY,2012,37.86,115.0
LIE,2012,7.35,160.0
LKA,2012,56.59,146.0
LSO,2012,28.36,66.0
LTU,2012,18.24,19.0
LUX,2012,6.68,151.0
LVA,2012,22.89,25.0
MAR,2012,39.04,120.0
MDA,2012,26.01,41.0
MDG,2012,28.62,73.0
MDV,2012,31.1,88.0
MEX,2012,45.3,137.0
MKD,2012,,
MLI,2012,30.03,84.0
MLT,2012,23.3,31.0
MMR,2012,44.71,135.0
MNE,2012,32.97,97.0
MNG,2012,29.93,83.0
MOZ,2012,28.01,58.0
MRT,2012,26.76,52.0
MUS,2012,26.47,48.0
MWI,2012,28.18,60.0
MYS,2012,42.73,129.0
NAM,2012,12.5,5.0
NER,2012,23.08,29.0
NGA,2012,34.11,99.0
NIC,2012,28.31,63.0
NLD,2012,6.48,149.0
NOR,2012,6.52,150.0
NPL,2012,34.61,102.0
NZL,2012,8.38,169.0
OMN,2012,41.51,125.0
PAK,2012,51.31,143.0
PAN,2012,32.95,96.0
PER,2012,31.87,90.0
PHL,2012,43.11,131.0
PNG,2012,22.97,27.0
POL,2012,13.11,8.0
PRK,2012,83.9,171.0
PRT,2012,16.75,14.0
PRY,2012,28.78,76.0
PSE,2012,,
QAT,2012,32.86,95.0
ROU,2012,23.05,28.0
RUS,2012,43.42,132.0
RWA,2012,55.46,145.0
SAU,2012,56.88,147.0
SDN,2012,70.06,161.0
SEN,2012,26.19,45.0
SGP,2012,43.43,133.0
SLE,2012,26.35,47.0
SLV,2012,22.86,24.0
SOM,2012,73.59,166.0
SRB,2012,26.59,49.0
SSD,2012,36.2,108.0
SUR,2012,18.19,17.0
SVK,2012,13.25,9.0
SVN,2012,20.49,21.0
SWE,2012,9.23,173.0
SWZ,2012,46.76,139.0
SYC,2012,29.19,78.0
SYR,2012,78.53,167.0
TCD,2012,34.87,105.0
TGO,2012,28.45,68.0
THA,2012,38.6,119.0
TJK,2012,35.71,107.0
TKM,2012,79.14,168.0
TLS,2012,28.72,75.0
TON,2012,37126.0,51.0
TTO,2012,23.12,30.0
TUN,2012,39.93,122.0
TUR,2012,46.56,138.0
TWN,2012,,
TZA,2012,27.34,55.0
UGA,2012,31.69,89.0
UKR,2012,36.79,110.0
URY,2012,15.92,13.0
USA,2012,18.22,18.0
UZB,2012,60.39,153.0
VEN,2012,34.44,101.0
VNM,2012,71.78,163.0
WSM,2012,23.84,34.0
YEM,2012,69.22,158.0
ZAF,2012,24.56,38.0
ZMB,2012,27.93,57.0
ZWE,2012,38.12,117.0
